uf,week,pred,lower_95,lower_90,lower_80,lower_50,upper_50,upper_80,upper_90,upper_95
DF,22,850.5,43.975,71,130,315.75,2238,5377.900000000006,9361.699999999993,17347.849999999926
DF,23,882,46.95,73,123.9,305.75,2307,5952.4000000000005,9844.749999999996,15891.974999999979
DF,24,882,45,79,134,326.75,2406.5,6175.200000000001,11028.649999999998,17332.674999999937
DF,25,886,41,77,120.9,323,2401.5,6415.800000000003,10677,21196.399999999954
DF,26,900,46.975,77.95,142.9,323,2498.75,6153.600000000008,10074.899999999992,17294.02499999996
DF,27,883,41,73.95,129,338,2385,5902.100000000009,10347.699999999997,19367.099999999915
DF,28,861.5,46.975,72.95,137,325.75,2459,6505.700000000003,11146.399999999996,16300.299999999994
DF,29,883.5,41.975,73.95,135.8,318.75,2490.25,6129.300000000008,10721.049999999996,19175.274999999874
DF,30,913.5,45,74,125.80000000000001,312.5,2486.5,6107.900000000005,11239.89999999999,18926.77499999999
DF,31,880,44,73,124,317,2269.25,6037.100000000009,10420.899999999992,16966.874999999996
DF,32,836.5,35,68.9,126.9,304,2198,5694.500000000004,10723.549999999997,17064.77499999997
DF,33,828,40,72.95,111,297,2190.25,5631.000000000004,9694.549999999997,16167.074999999917
DF,34,819.5,36.95,61,107,277.5,1999,5165.900000000002,8702.649999999998,15965.199999999988
DF,35,659.5,31.975,60,92.80000000000001,238,1700.75,4201.400000000005,7681.999999999997,12782.449999999997
DF,36,589.5,26,44.95,82,214,1621.5,4002.2000000000016,7441.65,12689.049999999994
DF,37,485.5,21,37,67.9,170,1386.75,3232.5000000000023,6038.799999999999,9098.074999999895
DF,38,397.5,18,31,52,134.75,1078.25,2576.100000000003,5193.15,7526.349999999998
DF,39,290.5,14,27,46.900000000000006,110,816.75,1985.7000000000037,3526.949999999999,6386.499999999986
DF,40,235.5,12,21.950000000000003,36,89,634.25,1548.4000000000005,2850.1499999999987,4663.1749999999665
DF,41,191,11,17,27,69,522.25,1380.4000000000005,2274.0999999999985,4109.075
DF,42,163,6.975000000000001,12,21,57,425,1110.1000000000001,1917.199999999999,3043.024999999994
DF,43,127,6,10,17,50,348,861.1000000000001,1571.5999999999995,2688.0249999999996
DF,44,120.5,5,9,16,41,317.25,751.2000000000003,1350.3499999999997,2242.349999999998
DF,45,117,5,9,16,44,297.25,694.2000000000003,1314.149999999999,2143.3749999999927
DF,46,102,5,9,15,37,282.25,697.2000000000003,1176.05,2313.05
DF,47,101,4,7.950000000000003,14,37,265.5,670,1188.7499999999975,1732.349999999998
DF,48,97,4,7,14,36,262.25,666.4000000000005,1191.3499999999997,1828.1249999999993
DF,49,101,4,8,14,36,268,666.6000000000008,1105,1808.5249999999971
DF,50,99,5,8,15,39,281.25,726,1323.2499999999998,2115.324999999998
DF,51,102,5,8,15,37,281.25,700.2000000000003,1205.7499999999993,1745.2499999999986
DF,52,99,4,7.950000000000003,14,37,264,666.1000000000001,1171.2499999999998,2034.0749999999996
DF,53,105,5,8,15,38,265.25,687.3000000000004,1221.7999999999993,2084
ES,1,241.5,4,8,17,57,1032,5357.500000000007,15338.1,54958.474999999846
ES,2,246,4,10,21,67,1107,5843.100000000001,19197.099999999984,54122.72499999995
ES,3,325.5,5.975000000000001,11,23.900000000000006,76.75,1396.75,6995.300000000001,20201.44999999993,63281.849999999926
ES,4,350.5,5.975000000000001,11.950000000000003,26,98,1521.75,7369.700000000008,24894.75,72951.42499999957
ES,5,407,7,12.950000000000003,29,94,1623.25,8829.400000000043,27826.24999999998,97110.3499999999
ES,6,411,7,15,31,106,1789,9050.80000000001,28820.5,113527.1749999998
ES,7,457,9,17,35.900000000000006,120.75,2091,9765.300000000036,31044.499999999996,117978.9499999999
ES,8,533.5,8,18.950000000000003,39,125.75,2406.25,12147.600000000017,35228.14999999998,138547.19999999882
ES,9,545.5,8,18,36,144.75,2487.5,12433.500000000004,47362.199999999975,148428.2999999972
ES,10,588.5,10,18.950000000000003,44,143.75,2719.25,15350.000000000036,44765.64999999998,155838.29999999987
ES,11,612,10,22,52,160.75,2702,14313.800000000017,44286.64999999998,133189.0749999996
ES,12,617,9.975000000000001,23,45.900000000000006,162,2794.25,15730.900000000005,55095.450000000004,163906.7999999997
ES,13,618.5,12.975000000000001,25,47.900000000000006,169.75,2681.75,14167.00000000003,56747.14999999999,157297.89999999842
ES,14,597,10.975000000000001,22,51,159,2798.5,17137.300000000007,53354.35,170389.7999999996
ES,15,684,14,24.950000000000003,54.900000000000006,179,2829,16657.20000000002,53472.899999999965,205069.39999999924
ES,16,713,12.975000000000001,26,58.900000000000006,195,3069.25,15779.50000000001,52715.949999999866,203434.37499999962
ES,17,794.5,15,26,59.900000000000006,198,3286,15455.10000000003,56847.24999999998,180133.225
ES,18,806,17,32.95,68,223.5,3848,19355.100000000017,55677.29999999994,227839.6499999986
ES,19,812,18,32,68,216,3672.25,20409.800000000036,62051.04999999989,188527.24999999916
ES,20,896,17,33,64,213,4240.25,21791.900000000005,65511.0499999999,218763.2749999993
ES,21,940.5,18,36,75,246.75,4343.5,24359.000000000022,76141.14999999998,342412.5499999999
ES,22,1007.5,20.975,38.95,80,244,4496.75,22792.700000000026,70787.19999999991,211495.52499999997
ES,23,998.5,21.975,43,83.9,262.75,4597.75,23974.100000000002,74532.94999999972,213220.44999999963
ES,24,979.5,20.975,42,77.9,254,4732.75,23275.4,81736.44999999995,295096.64999999944
ES,25,1021,17.975,41,81,263.5,4510.5,24372.4000000001,76874.34999999998,197611.99999999997
ES,26,1004.5,21,42,85.9,276,4678.75,25285.90000000008,70243.54999999994,230522.59999999977
ES,27,1003,18,38.95,81.9,271,4372.25,21742.600000000006,65558.59999999999,266601.02499999956
ES,28,980,17.975,37,76,260,4498.25,21904.300000000043,62579.34999999992,218503.1749999981
ES,29,848.5,15.975000000000001,35.95,73,230,3666.75,20404.100000000013,69672.39999999985,266360.17499999946
ES,30,825,18,35,72.9,206.75,3827.75,20762.300000000017,54803.04999999999,197639.2999999979
ES,31,764.5,15,32,69.9,212.75,3543.75,16743.100000000017,53371.89999999997,164338.07499999917
ES,32,754.5,14.975000000000001,28,59.900000000000006,199.75,3392.75,15487.500000000011,56417.54999999999,145608.59999999992
ES,33,705,12,24.950000000000003,57,184.75,2917.25,15814.900000000052,51433.49999999996,154033.29999999996
ES,34,671.5,14,25,53.900000000000006,170,2709.25,16445.60000000008,45355.1999999999,143730.04999999996
ES,35,562,13,21,48,145,2635.75,12990.000000000027,40176.64999999996,149926.9999999999
ES,36,536.5,11,20.950000000000003,44.900000000000006,143,2327.5,12230.60000000002,44549.14999999999,120332.2499999998
ES,37,507,8,17.950000000000003,38,125.75,2244.75,10412.80000000001,30960.45,110794.52499999934
ES,38,442.5,8,15,32,108.75,1794,9818.100000000013,31659.249999999993,91470.67499999833
ES,39,390.5,7.975000000000001,14,31,96,1749.75,7734.500000000001,25972.999999999985,88019.22499999969
ES,40,370,6,13,29,90,1652.5,7494.900000000002,27550.749999999993,96232.9249999998
ES,41,303,6,12,24,81,1304.25,5843.700000000001,22445.44999999999,72311.32499999997
ES,42,254,4,9,21,68,1178.25,6580.200000000004,17680.099999999973,55343.99999999924
ES,43,233,4,9,18,60,1065,5098.0000000000055,15836.349999999986,43976.8499999996
ES,44,217,3,7,15,53,938.25,4606.000000000011,13341.699999999992,43768.72499999953
ES,45,175.5,2.9750000000000014,6,15,48,807.5,3740.80000000001,12561.150000000001,39912.474999999955
ES,46,178,3,6,12,39.75,792,3971.4000000000046,13796.249999999985,37915.12499999933
ES,47,150,2,5,11,38,716,3507.1000000000004,11683.899999999989,33218.19999999934
ES,48,149,3,5,11,38,652,3736.4000000000096,10711.599999999999,31318.82499999995
ES,49,143,2,5,11,36.75,612.25,3286.9000000000015,8827.05,34017.42499999982
ES,50,142,3,5,11,38,682.5,3588.100000000006,10756.999999999998,31275.149999999965
ES,51,154,3,6,12,39,716.5,3613.000000000004,13798.599999999995,45806.09999999998
ES,52,176.5,3,6,13,42,863.25,3783.800000000001,12675.999999999987,32741.774999999274
ES,53,217,3,6,15,55,911.75,4653.800000000003,14270.39999999999,46337.27499999945
GO,1,615,282.925,319,370,473,816.25,1038.1000000000001,1222,1459.0499999999997
GO,2,652,271.95,319,377.9,486,848,1088.2000000000003,1285.05,1508.0249999999999
GO,3,658,313,350,400.9,504.75,875.25,1141,1339.1499999999999,1498
GO,4,699,328.975,365.95000000000005,419,532,918.25,1224.4000000000005,1397,1619.0749999999996
GO,5,759.5,352.925,397,461,583,989,1281.2000000000003,1528.05,1745.0249999999999
GO,6,821.5,379.975,428,494.80000000000007,632,1093,1380.2000000000003,1622.1499999999999,1857.0499999999997
GO,7,898,416.975,469,544.9,689,1178,1531,1774.2499999999998,2002.4249999999977
GO,8,937.5,453.95000000000005,500,582,736,1235.25,1598.1000000000001,1917.2999999999997,2164.0499999999997
GO,9,1007,461.975,517.9000000000001,594.9000000000001,771,1304.5,1709,2017.4499999999996,2388.949999999995
GO,10,1066.5,486,541.9000000000001,628.8,818.75,1389.5,1800,2095.1,2377.025
GO,11,1115.5,513,586,684.9,866,1483.25,1946.2000000000003,2289.4499999999994,2642.199999999999
GO,12,1285,597,676.9,777.9,976.75,1694,2188.500000000001,2747.1000000000004,3116.574999999997
GO,13,1281,630,700,805,996,1720.25,2234.2000000000003,2667.2,3139
GO,14,1584,705.975,808.95,948.9,1199.75,2099.5,2731.6000000000013,3212.1499999999996,3845.025
GO,15,1957.5,869,1001.9499999999999,1161.8,1500,2546.25,3309.1,3903.5,4752.025
GO,16,2351,1109.7250000000001,1244.95,1441.8,1818,3129.25,4080.800000000001,4918.3,5803.074999999999
GO,17,2799.5,1252.95,1432.9499999999998,1662.8999999999999,2160.75,3632,4751.300000000002,5695,6758.124999999999
GO,18,3220,1491.925,1695.7,1983.8,2474.5,4247,5783.200000000001,6703.4,7605.849999999996
GO,19,3592,1609.95,1830.95,2141.6,2772.25,4771.5,6140.500000000002,7441.499999999998,8728.64999999999
GO,20,3945,1867.95,2099.8,2421.9,3034.75,5127,6651.1,8019.7,9235.175
GO,21,4163,1925.8999999999999,2189.9500000000003,2571.9,3207,5547.25,7023.500000000001,8331.65,9828.749999999996
GO,22,4350,1996.8,2272.85,2631.7,3350.25,5700.5,7422.500000000001,8958.099999999997,10518.149999999992
GO,23,4440.5,2169.9500000000003,2435.5,2738.8999999999996,3395,5883.25,7734.4000000000015,8978.599999999999,10777.824999999995
GO,24,4665.5,2207,2452.9,2863.8,3614.75,6124,7825.4000000000005,9211.099999999999,10539.97499999999
GO,25,4666.5,2244,2519.9500000000003,2871,3624,6175.5,8043.300000000001,9940.599999999997,12032.274999999992
GO,26,4823.5,2194.8,2542.95,2986,3711.75,6316,8355.6,9481.3,11099.474999999999
GO,27,4899,2262.4750000000004,2598.65,2962,3722,6471.75,8638.900000000001,10047.199999999997,11722.524999999987
GO,28,4860,2343.525,2588.9,3038,3785.75,6361.75,8365.000000000002,9849.5,11226.824999999995
GO,29,4847,2222.9500000000003,2556.4500000000003,2912.1000000000004,3679.75,6321.25,8104.3,9769.300000000001,11162.649999999998
GO,30,4705,2153.675,2502.7000000000003,2848.7000000000003,3627.5,6188.25,7872,9235.2,10908.824999999995
GO,31,4426.5,2054.75,2353.7999999999997,2729.9,3435.25,5821.5,7635.1,9268.25,10936.274999999987
GO,32,4119,1926.925,2185.75,2570.9,3233,5421.75,7055.300000000002,8226.05,9780.174999999988
GO,33,3739.5,1693.85,1953.9,2199,2791.75,4926.25,6301.000000000002,7331.25,8554.499999999975
GO,34,3232,1550.775,1733.8500000000001,1973.9,2461.75,4282.5,5487.600000000001,6459.15,7517.024999999994
GO,35,2741.5,1262.9,1449.8,1668.9,2131.75,3612.25,4681.9000000000015,5661.15,6576.5499999999975
GO,36,2421.5,1121.9,1231.9,1416.9,1820.25,3185,4082.2000000000003,4828.4,5638.4499999999925
GO,37,2002.5,913.95,1032,1197,1551.5,2622.5,3450.1000000000004,4122.1,4858.574999999997
GO,38,1680.5,770.9499999999999,862.9499999999999,1016.9,1276,2208,2854.4000000000005,3474.2,4065.0999999999995
GO,39,1385,631,725.9000000000001,843.9,1049.5,1859,2342.3,2791.5999999999995,3225.1499999999996
GO,40,1154.5,534.95,596,685.9000000000001,871,1519.75,2001.1000000000001,2375.15,2731.4999999999973
GO,41,971.5,438.97499999999997,506,593,748,1281,1671.700000000001,1999.1499999999999,2247.0249999999996
GO,42,832,378.925,428.95,496,631.75,1095.25,1414,1686.1,1932.1499999999992
GO,43,730,322,377,437.9,550,970,1263.4000000000005,1457.2499999999998,1704.2499999999986
GO,44,669.5,295,344,406.90000000000003,508,874.25,1112,1278.05,1526.0499999999997
GO,45,624,282.975,329,381,487,817.25,1064,1254.1499999999999,1408.1249999999993
GO,46,593,269.975,312,353,455.75,784.25,1038.3000000000004,1241,1457.0999999999995
GO,47,575,258.95,288.95,344,432,749.25,982,1140.05,1342
GO,48,567,254.95000000000002,287.95,327,431,719,935.3000000000004,1118,1289.2749999999985
GO,49,561,251,288.95,336,426.75,734,954,1110.5999999999995,1306.0499999999997
GO,50,572,258.975,296.95,341,437,749,966.1000000000001,1123.05,1309
GO,51,573,259,292,347.9,437,752.25,971.1000000000001,1119.1999999999998,1295.199999999999
GO,52,597.5,272.975,309.95000000000005,357.9,462,783,993.1000000000001,1174,1362
GO,53,596.5,272.975,319.95,362,457,796,1019,1224.1,1403.1499999999992
MA,1,23,4,5,7,13,40.25,65.10000000000014,97,130
MA,2,24,4,5,7,13,40,68,95,126.02499999999986
MA,3,24,4,5,8,14,40,66,92,131
MA,4,23,4,5,8,14,41,68,98.04999999999995,128
MA,5,24,4,6,8,14,43,70.10000000000014,95,132
MA,6,26,4,6,9,15,42,71,97,131
MA,7,24,5,6,9,14,43,70,94.04999999999995,127.02499999999986
MA,8,25,4,6,9,15,42,66,90.04999999999995,125
MA,9,24,4.975000000000001,6,9,15,42,68,89,120
MA,10,26,5,7,10,15,42,70,98,134
MA,11,29,5,8,10,17.75,48,75,106,144.09999999999945
MA,12,37,7,10,14,22,62,100.10000000000014,131,169.02499999999986
MA,13,37,7,10,14,22,59,96,132,171.02499999999986
MA,14,50,10,14,19,30,84.25,132.10000000000014,177.04999999999995,228.02499999999986
MA,15,71,14,19,26,44,118,189,249,332.02499999999986
MA,16,94,20,27,36,58,161,259,336.04999999999995,427.2249999999988
MA,17,125,27,36,47.900000000000006,75,204,329,432.0999999999999,576.0499999999997
MA,18,153,33.975,43,58,94,250.25,392.10000000000014,518.05,670.0249999999999
MA,19,192.5,41.975,57,72.9,117.75,323,505,675.05,832.0249999999999
MA,20,228.5,54,68,88,135,372.25,601.6000000000008,789.05,1127.0499999999997
MA,21,263,61.975,77.95,103,165,425,684.3000000000004,898.3999999999996,1110.1499999999992
MA,22,274.5,66,79,105,168,447,710.2000000000003,942.0999999999999,1248
MA,23,289,68.975,84,113,180,452,722.1000000000001,984.0999999999999,1231.174999999999
MA,24,277,65,84,109,170,452.25,686.1000000000001,935.099999999999,1280.4249999999977
MA,25,279,66,84.95,111,175,452,722.1000000000001,948.05,1333.174999999999
MA,26,264,65,81,107,165,437,696,890,1157.0999999999995
MA,27,274,63.975,78.95,104,173.75,430,691.5000000000007,960.2499999999998,1247.1499999999992
MA,28,258.5,58,76,100,158.75,416,656.1000000000001,881.05,1181.4249999999977
MA,29,250,55,69.95,96,153,403,612.1000000000001,847.0999999999999,1055.199999999999
MA,30,223.5,51,69,92.9,140,363.25,583.3000000000004,807.3999999999996,1038.0749999999996
MA,31,212,51.975,64,84,130.75,348,537.2000000000003,705.0999999999999,935.2249999999988
MA,32,181.5,42,55,73,110,295.25,456.10000000000014,623.3499999999997,859.0749999999996
MA,33,154,36,46,62,95,252,411.10000000000014,543,672.5249999999971
MA,34,132,30.975,39.95,52,81,216,354.10000000000014,471,642.0499999999997
MA,35,116.5,26,34,45.900000000000006,73,192.25,298.10000000000014,403.0999999999999,546.0749999999996
MA,36,101,21.975,29,38,60,162,251,348.0999999999999,452.1499999999992
MA,37,86.5,18,24,32,53,142,217.10000000000014,305,411.02499999999986
MA,38,73,16,22,29,46,115,190,259.0999999999999,330.02499999999986
MA,39,66,14,18,25,40,106,169,227.0999999999999,290.02499999999986
MA,40,57,12,16,21,34.75,93,152.10000000000014,204,251.0749999999996
MA,41,50,11.975000000000001,14,19,31,85,140.10000000000014,190,238
MA,42,45,9,12,16,27,76,125,178,241.09999999999945
MA,43,41,8,11,15,24,72.25,122,171.04999999999995,234.02499999999986
MA,44,37,8,10,14,22,66,106,144.04999999999995,195.0749999999996
MA,45,36,7,9,13,22,61,104,151.04999999999995,222
MA,46,34,6,9,12,20,57,98.10000000000014,135,166
MA,47,32,5,8,11,19,54,92.10000000000014,124,187.09999999999945
MA,48,30,5,8,10,17,52,87,122.04999999999995,159.02499999999986
MA,49,28,5,7,10,16,49,87,126,172
MA,50,26,4,6,9,15,45,74.20000000000027,112,156.02499999999986
MA,51,25,4,6,8,14,43,70,104,145.02499999999986
MA,52,23,4,6,8,13,41,69,92,129.04999999999973
MA,53,23,4,6,8,13,41,69.10000000000014,98,124.04999999999973
MG,1,654,220.975,261.95,307,428,1107.5,2074.4000000000033,3509.0999999999985,5168.149999999988
MG,2,687.5,237.97500000000002,279,328,459.75,1193,2199.7000000000007,3679.099999999997,6137.224999999988
MG,3,743.5,253.95000000000002,286.95000000000005,343,496,1316.25,2458.700000000002,3949.0999999999995,6586.84999999999
MG,4,802,260,307.95,377,535,1353.75,2726.600000000002,4284.799999999999,6895.499999999971
MG,5,916,285,344.95,417.8,583,1595.5,2856.1000000000004,4545.5999999999995,6892.624999999996
MG,6,1023,313.97499999999997,381.95000000000005,465.9,662,1717,3193.800000000004,5194.0999999999985,7315.79999999999
MG,7,1109.5,383.975,420.95,524.9,715.75,1857.75,3370.1000000000004,5642.299999999999,8159.124999999999
MG,8,1242,398.97499999999997,475,590.9000000000001,836,2136.5,3997.7000000000007,6415.15,10890.199999999972
MG,9,1402.5,467.97499999999997,543.95,662.9000000000001,928,2329.75,4230.9000000000015,7292.199999999995,12529.1
MG,10,1594.5,523.9250000000001,609,753,1055.75,2559.25,4836.500000000002,7678.449999999994,11859.749999999985
MG,11,1839.5,604.9250000000001,696.95,841.9,1190,3056.5,5549.700000000001,8752.349999999995,13925.199999999988
MG,12,2116,741.95,845.9000000000001,1011.9,1418.5,3489.25,6472.500000000002,10689.35,16449.724999999948
MG,13,2157,724.95,859,1023.7,1426.25,3584.25,6364.500000000001,10579.1,15874.374999999987
MG,14,2724.5,897,1026.95,1281.8999999999999,1790,4451,7608.200000000001,11837.949999999999,19208.899999999947
MG,15,3367,1105.85,1297.5500000000002,1601.7,2227.75,5585.25,9597.2,15193.949999999993,24093.924999999934
MG,16,4188.5,1473.8500000000001,1718.8000000000002,2007,2784.5,6838.75,12191.700000000003,18965.199999999997,32026.824999999917
MG,17,5029,1762.825,2075.85,2461.8999999999996,3342.5,8209.5,14473.100000000002,23268.25,33676.87499999981
MG,18,6259,2041.875,2472.8,2975.5,4155.75,10055.25,17573.600000000028,27461.949999999997,41066.82499999999
MG,19,7135,2485.375,2830.6,3481.4,4804.25,12020.75,21840.400000000027,32351.24999999999,47394.54999999996
MG,20,8315,2782.8999999999996,3242.35,3866.8,5556,13296.25,23872.10000000001,35022.249999999985,57849.599999999984
MG,21,9273,3334.6,3862.45,4575,6255.5,15253.5,27946.300000000003,44433.84999999999,66976.44999999992
MG,22,10216,3550,4239,5033.8,6897,16320.75,30330.100000000028,50429.649999999994,75852.47499999995
MG,23,10953.5,3696.7,4315.25,5264,7403.5,18436.75,32245.7,51723.39999999999,84020.6249999999
MG,24,11935.5,3923.15,4689.6,5682.700000000001,7790,19485.5,33804.6,54502.79999999995,86632.67499999997
MG,25,12132.5,4051.925,4814.3,5919.6,8160.75,20251.75,35066.30000000001,55686.99999999994,84692.97499999974
MG,26,12372.5,4072.15,4821.9000000000005,6004,8429.75,21047.5,37296.600000000006,58424.899999999994,84826.8249999998
MG,27,12774,4515.8,5124.9,6125.1,8436.5,21660.5,38774.600000000006,57121.19999999997,89805.32499999966
MG,28,12539.5,4198.775,4964.250000000001,5916.8,8302.25,21139,37348.30000000002,59402.84999999997,86342.14999999995
MG,29,12147,4140.9,4805.9,5829.0999999999995,8153.75,20549,35462.500000000015,54749.99999999998,81941.07499999972
MG,30,11418.5,3710.4,4427,5460.3,7623.5,18874,33484.2,53585.049999999974,84672.62499999996
MG,31,10206,3492.875,4027.2000000000003,4862.700000000001,6953.75,16802,31239.100000000002,53020.54999999999,81138.77499999985
MG,32,8962,2941.75,3539.65,4250.8,5982.25,15006.75,25675.200000000004,39263.2,62169.999999999956
MG,33,7381.5,2457.625,2945.85,3525.4,4876,11660.25,21575.200000000004,34522,51229.64999999984
MG,34,5910.5,1944.65,2310,2836.5,3979.5,9802.5,18037.700000000008,26703.49999999999,37990.59999999997
MG,35,4659.5,1559.8000000000002,1847.65,2237.7000000000003,3124.75,7631.75,13098.3,20390.5,30838.549999999825
MG,36,3626,1241.95,1476.6,1753,2489.5,5895.25,10517.900000000001,15062.949999999997,24611.54999999997
MG,37,2730,927.775,1094.7,1314.8,1805,4467.25,8196.000000000002,12139.99999999999,19511.599999999944
MG,38,2113.5,729.925,855,1011.8,1415,3347,5663.000000000002,8526.3,12954.399999999992
MG,39,1590.5,558.925,639,776,1091,2596.25,4652.300000000003,6945.999999999997,10797.024999999978
MG,40,1255,433.925,495.95,617.9,852.75,1969.5,3659.000000000007,5683.999999999999,8570.075
MG,41,1021.5,365.975,419.9,501,682.75,1632,2808.2000000000016,4325.549999999998,6138.699999999991
MG,42,864,283.975,338,404.9,581.75,1380,2409.6000000000004,3400.0499999999965,4879.849999999995
MG,43,719,251,293,350,489,1190.25,2044.400000000002,3190.5999999999995,4781.299999999993
MG,44,636,226.9,255,301,421.75,1061.25,1882.1000000000001,2748.199999999999,4392.074999999978
MG,45,581.5,203,237,283.9,399,973.25,1771.1000000000001,2707.3,3730.075
MG,46,544.5,190.9,222.85000000000002,263.9,371,923,1635.8000000000025,2587.45,3589.3499999999985
MG,47,529,182.97500000000002,213,258,352,860.5,1537.4000000000005,2436.25,3489.4749999999976
MG,48,541,170.97500000000002,208.95,252.9,358,864.25,1523.1000000000015,2528.1499999999996,3668.149999999999
MG,49,542,176.975,209,254,357.75,898.25,1702.1000000000015,2617.3499999999995,4011.3749999999977
MG,50,557.5,192.975,221,264.9,366,902.5,1607.700000000001,2588.0999999999963,4409.074999999978
MG,51,585,186.97500000000002,220,270,378,977.5,1750,2714.2,4093.0749999999944
MG,52,587,194,232.89999999999998,284,395,1001,1874.800000000001,2968.05,4492.799999999996
MG,53,637,207.975,247,301,422,1095.25,2013.500000000002,2981.1499999999996,4659.124999999999
MS,1,90,15,20,28,48,169,323.2000000000003,478.0999999999999,808.0499999999997
MS,2,100,16,22,30,55,192,347.10000000000014,540,797.0749999999996
MS,3,116,20.975,27,37,63,218.25,430.10000000000014,682.05,995.4749999999974
MS,4,131,24,31,42,68,243.25,473.10000000000014,748.1999999999998,1120.2499999999986
MS,5,147,24,32.95,45,78,275.5,533.1000000000001,850.3499999999997,1263.174999999999
MS,6,173,29,38,50,89,325,611.5000000000007,898,1565.2999999999984
MS,7,198,31.975,44,61.900000000000006,108,374.25,703.1000000000001,1111.999999999999,1670.899999999995
MS,8,221,38,48,66,117,418,767.700000000001,1281.1999999999998,1796.6999999999907
MS,9,238,37,50,73,129,466.25,877.3000000000004,1297.05,2060.2499999999986
MS,10,265.5,39,59,81,140,521,980.8000000000011,1503.6499999999994,2749.424999999998
MS,11,283,50,68,91,150,554.75,1098.1000000000001,1617.2999999999997,2484.349999999998
MS,12,318,53,71,98.9,167.75,609.25,1195.1000000000001,1809.7499999999993,2636.074999999978
MS,13,321,52,70,97.9,167,607.25,1217.1000000000001,1858.05,3040.9249999999947
MS,14,387,58.975,80,117,201,738,1373.800000000001,2090.449999999999,3135.3999999999924
MS,15,461,75,97,137,240,856,1634.2000000000016,2433.2,3724.399999999998
MS,16,533,89,121.95,170,285.75,993.25,1880.3000000000004,2933.499999999999,4677.724999999997
MS,17,604,110.97500000000001,146,191.9,335.75,1164.25,2132.600000000002,3285.5499999999993,4700.7749999999905
MS,18,699.5,137.975,165.9,222.9,375,1330.5,2580.600000000001,3958.1499999999987,5887.474999999991
MS,19,777.5,132,183,247,415.75,1448.75,2860.2000000000003,4016.4999999999995,5860.124999999984
MS,20,807,139,188.5,279.8,471.75,1489.25,2729.900000000001,4430.8499999999995,6049.424999999992
MS,21,864,154.97500000000002,208.95,280.9,473,1605.25,2957,4651.2999999999975,7943.849999999989
MS,22,948.5,170.97500000000002,215.95,291,526.75,1783.75,3313.3000000000034,4749.699999999999,7455.199999999993
MS,23,937.5,165.97500000000002,226.95000000000002,312,528.75,1772.5,3428.300000000002,5267.75,8193.724999999997
MS,24,1000,177.95,233.95,309.30000000000007,521,1867,3360.600000000001,4995.65,8615.69999999999
MS,25,988,168,231.95,311,543,1955.75,3753.1000000000013,5757.099999999996,8713.749999999978
MS,26,1039,168.95,223.8,313.9,557.75,1934.75,3619.500000000002,5882.0999999999985,9387.624999999969
MS,27,1023,162,230.85000000000002,311,557.5,1925.75,3721.1,5938.799999999998,9094.399999999976
MS,28,943,156.975,224.95,292.9,526.5,1880,3587.1000000000013,5625.399999999999,7872.874999999989
MS,29,962.5,165.97500000000002,226.90000000000003,306,519.75,1857.25,3658.500000000002,5245.399999999999,7726.049999999978
MS,30,924.5,159.85000000000002,199.95,285.9,499.75,1710,3358.700000000002,5101.949999999998,7973.349999999878
MS,31,805.5,137.975,179.95,264.9,448.75,1606.5,3007.800000000001,4388.849999999997,6861.474999999998
MS,32,728,132.975,172,227.9,389.75,1394,2755.500000000001,4212.999999999998,6156.874999999995
MS,33,631,109,139.85000000000002,195.9,330,1225,2215.7000000000007,3154.2999999999997,4959.724999999996
MS,34,510,84.975,111.95,154,276.5,987.25,1876,2851.45,4282.274999999999
MS,35,409.5,64.975,86.95,123,214,804.25,1474.1000000000001,2370.4999999999995,3611.2749999999933
MS,36,339,52.975,70,99,175,645,1193.0000000000014,1935.3999999999996,2951.1499999999987
MS,37,258.5,43,57,83,137,497.25,970.3000000000004,1545.05,2220.974999999995
MS,38,206,34,46,63,108,397,733.3000000000004,1101.1999999999998,1760.2499999999986
MS,39,174,27,36,52,90,331.25,611,979.3499999999997,1567.5249999999971
MS,40,141,22.975,29,42,75,278,513.1000000000001,797.2499999999998,1264.4999999999973
MS,41,121,19,25,35,64,223,412,663.0999999999999,1031.099999999994
MS,42,99,16,22,31,53,190.25,379.10000000000014,576.1499999999999,984.0499999999997
MS,43,85,13.975000000000001,18,26.900000000000006,47,171.25,304.2000000000003,468.0999999999999,678.0249999999999
MS,44,76,12,16,24,41.75,153.25,289.2000000000003,444.2499999999998,630.1249999999993
MS,45,72,12,16,22,39,135,255,407.14999999999986,690
MS,46,66,10,14,21,34,122,225.10000000000014,375.04999999999995,563.2999999999984
MS,47,63,11,15,21,35,119.25,224.10000000000014,352.14999999999986,531.4749999999974
MS,48,61,10,15,20,33,115,227,333.0999999999999,468.02499999999986
MS,49,64,10,14,20,34,113.25,205,321,493.09999999999945
MS,50,67,11,15,20,35,124,237.10000000000014,341.04999999999995,518.0249999999999
MS,51,70,11,16,22,37,132,252.10000000000014,377.0999999999999,571.0249999999999
MS,52,79,12,17,24,41,140,272.10000000000014,395.1999999999998,594.2249999999988
MS,53,81,14,18,28,46,162,301.10000000000014,428.14999999999986,636.0999999999995
MT,1,104,36,43,51,71,156,238,312,404.02499999999986
MT,2,114,39,47,55.900000000000006,77,169,256.10000000000014,331.14999999999986,432.0749999999996
